file	model	alpha	rate	ci_lower	ci_upper	n_variants
regenie_step2.eur.p_0.1_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.001	0.00155467265503541	0.000539743049833871	0.00256960226023695	5789
regenie_step2.eur.p_0.1_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.1_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.1_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.05	0.052858870271204	0.0470949152495552	0.0586228252928528	5789
regenie_step2.eur.p_0.1_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.01	0.0133010882708585	0.0103499455774643	0.0162522309642527	5789
regenie_step2.eur.p_0.1_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.001	0.00103644843669027	0.000207546854995173	0.00186535001838538	5789
regenie_step2.eur.p_0.1_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.1_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.1_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.05	0.0533770944895491	0.0475865384900265	0.0591676504890718	5789
regenie_step2.eur.p_0.1_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.01	0.0127828640525134	0.00988902266074399	0.0156767054442828	5789
regenie_step2.eur.p_0.1_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.001	0.00103644843669027	0.000207546854995173	0.00186535001838538	5789
regenie_step2.eur.p_0.1_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.1_continuous_4.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.2_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.05	0.0518224218345137	0.0461121341343909	0.0575327095346366	5789
regenie_step2.eur.p_0.2_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.01	0.0110554499913629	0.00836187866961287	0.013749021313113	5789
regenie_step2.eur.p_0.2_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.001	0.00120918984280532	0.000313951219547245	0.0021044284660634	5789
regenie_step2.eur.p_0.2_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.0001	0	0	0	5789
regenie_step2.eur.p_0.2_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.2_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.05	0.0480221108999827	0.0425141816826895	0.053530040117276	5789
regenie_step2.eur.p_0.2_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.01	0.00846432889963724	0.00610436840386426	0.0108242893954102	5789
regenie_step2.eur.p_0.2_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.001	0.000690965624460183	0.0000140532953268634	0.0013678779535935	5789
regenie_step2.eur.p_0.2_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.2_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.2_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.05	0.0480221108999827	0.0425141816826895	0.053530040117276	5789
regenie_step2.eur.p_0.2_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.01	0.00846432889963724	0.00610436840386426	0.0108242893954102	5789
regenie_step2.eur.p_0.2_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.001	0.000345482812230092	0	0.00082421484300216	5789
regenie_step2.eur.p_0.2_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.2_continuous_1.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.2_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.05	0.0525133874589739	0.0467672520666405	0.0582595228513073	5789
regenie_step2.eur.p_0.2_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.01	0.0100190015546727	0.00745345471525673	0.0125845483940886	5789
regenie_step2.eur.p_0.2_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.001	0.0022456382794956	0.00102626684893277	0.00346500971005842	5789
regenie_step2.eur.p_0.2_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.0001	0.000345482812230092	0	0.00082421484300216	5789
regenie_step2.eur.p_0.2_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.00001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.2_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.05	0.0547590257384695	0.0488982726853204	0.0606197787916186	5789
regenie_step2.eur.p_0.2_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.01	0.011228191397478	0.00851389520255239	0.0139424875924036	5789
regenie_step2.eur.p_0.2_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.001	0.00103644843669027	0.000207546854995173	0.00186535001838538	5789
regenie_step2.eur.p_0.2_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.2_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	REC.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.2_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.05	0.0545862843323545	0.0487342480187466	0.0604383206459623	5789
regenie_step2.eur.p_0.2_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.01	0.0120918984280532	0.00927637065758152	0.0149074261985249	5789
regenie_step2.eur.p_0.2_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.001	0.000690965624460183	0.0000140532953268634	0.0013678779535935	5789
regenie_step2.eur.p_0.2_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.0001	0.000172741406115046	0	0.000511285318036047	5789
regenie_step2.eur.p_0.2_continuous_2.pLoF_damaging_missense.combined.regenie.tsv.gz	DOM.P	0.00001	0	0	0	5789
regenie_step2.eur.p_0.2_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.05	0.0497495249611332	0.0441484960633485	0.0553505538589179	5789
regenie_step2.eur.p_0.2_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.01	0.00846432889963724	0.00610436840386426	0.0108242893954102	5789
regenie_step2.eur.p_0.2_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.001	0.000863707030575229	0.000106961453521839	0.00162045260762862	5789
regenie_step2.eur.p_0.2_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.0001	0	0	0	5789
regenie_step2.eur.p_0.2_continuous_3.pLoF_damaging_missense.combined.regenie.tsv.gz	ADD.P	0.00001	0	0	0	5789
